frequency_hz,frequency_mhz,depth_m,depth_mm,path_loss_db,snr_db,tissue_model
2526530612.244898,2526.530612244898,0.02,20.0,14.92093726532019,90.71034996570847,skin+fat+muscle+bone
2585714285.714286,2585.714285714286,0.02,20.0,15.256380979213976,90.29090872767905,skin+fat+muscle+bone
2644897959.1836734,2644.8979591836733,0.02,20.0,15.587632909181137,89.87523473459939,skin+fat+muscle+bone
2704081632.6530614,2704.081632653061,0.02,20.0,15.9148978535246,89.4631203966224,skin+fat+muscle+bone
2763265306.122449,2763.265306122449,0.02,20.0,16.23836750454327,89.05437114538347,skin+fat+muscle+bone
2822448979.591837,2822.448979591837,0.02,20.0,16.558221563129315,88.6488043232148,skin+fat+muscle+bone
2881632653.0612245,2881.6326530612246,0.02,20.0,16.874628737719014,88.24624818752227,skin+fat+muscle+bone
2940816326.530612,2940.816326530612,0.02,20.0,17.18774764170782,87.84654101627129,skin+fat+muscle+bone
3000000000.0,3000.0,0.02,20.0,17.497727601472178,87.4495303024888,skin+fat+muscle+bone
100000000.0,100.0,0.025,25.0,-14.64073319478696,122.77864418536264,skin+fat+muscle+bone
159183673.46938777,159.18367346938777,0.025,25.0,-10.332663672258526,118.33991512521035,skin+fat+muscle+bone
218367346.9387755,218.3673469387755,0.025,25.0,-7.416534111273941,115.33071795626098,skin+fat+muscle+bone
277551020.40816325,277.55102040816325,0.025,25.0,-5.206208987217609,113.04264937933605,skin+fat+muscle+bone
336734693.877551,336.734693877551,0.025,25.0,-3.420558699957691,111.18582750445931,skin+fat+muscle+bone
395918367.3469388,395.9183673469388,0.025,25.0,-1.917523836537422,109.61419091896059,skin+fat+muscle+bone
455102040.8163265,455.1020408163265,0.025,25.0,-0.6151537684847885,108.25403580912739,skin+fat+muscle+bone
514285714.28571427,514.2857142857142,0.025,25.0,0.5358048042182713,107.06442622640617,skin+fat+muscle+bone
573469387.755102,573.469387755102,0.025,25.0,1.5678284101746587,105.99579802527104,skin+fat+muscle+bone
632653061.2244898,632.6530612244898,0.025,25.0,2.5047607386290283,105.02369707409513,skin+fat+muscle+bone
691836734.6938776,691.8367346938776,0.025,25.0,3.3639402765783912,104.13039297012725,skin+fat+muscle+bone
751020408.1632653,751.0204081632653,0.025,25.0,4.158369429672281,103.30262327094518,skin+fat+muscle+bone
810204081.632653,810.204081632653,0.025,25.0,4.898049775949857,102.53020903412366,skin+fat+muscle+bone
869387755.1020408,869.3877551020407,0.025,25.0,5.590840310033464,101.80516749733358,skin+fat+muscle+bone
928571428.5714285,928.5714285714286,0.025,25.0,6.251784240196076,101.10556151044564,skin+fat+muscle+bone
987755102.0408163,987.7551020408163,0.025,25.0,6.9066998569549645,100.38924037603337,skin+fat+muscle+bone
1046938775.5102041,1046.938775510204,0.025,25.0,7.530365514108567,99.70414708015976,skin+fat+muscle+bone
1106122448.9795918,1106.1224489795918,0.025,25.0,8.126255792411268,99.04679274078029,skin+fat+muscle+bone
1165306122.4489796,1165.3061224489795,0.025,25.0,8.697299378150522,98.41423742032525,skin+fat+muscle+bone
1224489795.9183674,1224.4897959183675,0.025,25.0,9.245987808618478,97.8039805983902,skin+fat+muscle+bone
1283673469.3877552,1283.6734693877552,0.025,25.0,9.774458413587165,97.21387767551806,skin+fat+muscle+bone
1342857142.857143,1342.857142857143,0.025,25.0,10.284558469613172,96.64207541826677,skin+fat+muscle+bone
1402040816.3265307,1402.0408163265306,0.025,25.0,10.777895453942048,96.0869614113159,skin+fat+muscle+bone
1461224489.7959185,1461.2244897959185,0.025,25.0,11.255876863111375,95.54712401997276,skin+fat+muscle+bone
1520408163.265306,1520.408163265306,0.025,25.0,11.719742093580255,95.02132034439352,skin+fat+muscle+bone
1579591836.7346938,1579.5918367346937,0.025,25.0,12.170588211045441,94.50845032414342,skin+fat+muscle+bone
1638775510.2040815,1638.7755102040815,0.025,25.0,12.60939096270818,94.0075356285303,skin+fat+muscle+bone
1697959183.6734693,1697.9591836734694,0.025,25.0,13.037022049029495,93.51770230885441,skin+fat+muscle+bone
1757142857.142857,1757.142857142857,0.025,25.0,13.454263426744902,93.0381664355332,skin+fat+muscle+bone
1816326530.6122448,1816.3265306122448,0.025,25.0,13.861819235270163,92.56822212412628,skin+fat+muscle+bone
1875510204.0816326,1875.5102040816325,0.025,25.0,14.260325805247302,92.10723148867649,skin+fat+muscle+bone
1934693877.5510204,1934.6938775510205,0.025,25.0,14.650360107870668,91.65461616161306,skin+fat+muscle+bone
1993877551.0204082,1993.8775510204082,0.025,25.0,15.03244692773956,91.2098500958779,skin+fat+muscle+bone
2053061224.489796,2053.061224489796,0.025,25.0,15.407064983909757,90.77245342339215,skin+fat+muscle+bone
2112244897.9591837,2112.2448979591836,0.025,25.0,15.774652178987296,90.34198718909049,skin+fat+muscle+bone
2171428571.4285717,2171.4285714285716,0.025,25.0,16.135610121220136,89.91804881484934,skin+fat+muscle+bone
